         7569912 function calls (7528979 primitive calls) in 20.841 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   20.841   20.841 <string>:2(<module>)
        1    0.008    0.008   20.841   20.841 geo_functions.py:124(getBlockAvailability)
       13    0.057    0.004   20.117    1.547 predictive_functions.py:8(historicalUtilizationPercentageWithIgnore)
     2056    0.003    0.000   15.238    0.007 cursor.py:1185(next)
      286    0.002    0.000   15.233    0.053 cursor.py:1076(_refresh)
      143    0.003    0.000   15.224    0.106 cursor.py:911(__send_message)
      143    0.001    0.000   15.197    0.106 mongo_client.py:1106(_send_message_with_response)
      143    0.000    0.000   15.189    0.106 mongo_client.py:1147(_reset_on_error)
      143    0.003    0.000   15.188    0.106 server.py:66(send_message_with_response)
      145    0.001    0.000   15.162    0.105 network.py:169(receive_message)
      143    0.000    0.000   15.161    0.106 pool.py:603(receive_message)
      290    0.004    0.000   15.158    0.052 network.py:207(_receive_data_on_socket)
      290   15.154    0.052   15.154    0.052 {method 'recv' of '_socket.socket' objects}
     6735    0.028    0.000    1.351    0.000 frame.py:2893(__getitem__)
     4039    0.034    0.000    1.247    0.000 ops.py:1660(wrapper)
     1463    0.006    0.000    1.212    0.001 frame.py:2952(_getitem_bool_array)
     1463    0.010    0.000    1.118    0.001 generic.py:3323(_take)
     1464    0.013    0.000    1.045    0.001 managers.py:1329(take)
     2315    0.019    0.000    0.995    0.000 ops.py:1817(wrapper)
4890/4760    0.024    0.000    0.965    0.000 generic.py:5581(astype)
    21113    0.117    0.000    0.958    0.000 series.py:152(__init__)
     1464    0.015    0.000    0.865    0.001 managers.py:1198(reindex_indexer)
      260    0.002    0.000    0.840    0.003 indexing.py:183(__setitem__)
  1283864    0.329    0.000    0.763    0.000 {isinstance}
     4630    0.014    0.000    0.722    0.000 ops.py:1815(<lambda>)
      260    0.001    0.000    0.699    0.003 indexing.py:153(_get_setitem_indexer)
      260    0.002    0.000    0.698    0.003 indexing.py:234(_convert_tuple)
      520    0.003    0.000    0.695    0.001 indexing.py:1271(_convert_to_indexer)
     7096    0.006    0.000    0.667    0.000 base.py:2650(get_loc)
