         7589733 function calls (7546981 primitive calls) in 24.028 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   24.028   24.028 <string>:3(<module>)
        1    0.010    0.010   24.028   24.028 geo_functions.py:117(getBlockAvailability)
       13    0.073    0.006   23.150    1.781 predictive_functions.py:6(historicalUtilizationPercentageWithIgnore)
     2056    0.004    0.000   17.429    0.008 cursor.py:1185(next)
      286    0.003    0.000   17.423    0.061 cursor.py:1076(_refresh)
      143    0.004    0.000   17.384    0.122 cursor.py:911(__send_message)
      143    0.002    0.000   17.358    0.121 mongo_client.py:1106(_send_message_with_response)
      143    0.000    0.000   17.348    0.121 mongo_client.py:1147(_reset_on_error)
      143    0.003    0.000   17.348    0.121 server.py:66(send_message_with_response)
      156    0.002    0.000   17.295    0.111 network.py:169(receive_message)
      312    0.005    0.000   17.290    0.055 network.py:207(_receive_data_on_socket)
      143    0.000    0.000   17.288    0.121 pool.py:603(receive_message)
      312   17.285    0.055   17.285    0.055 {method 'recv' of '_socket.socket' objects}
     6735    0.038    0.000    1.600    0.000 frame.py:2893(__getitem__)
     4039    0.044    0.000    1.473    0.000 ops.py:1660(wrapper)
     1463    0.008    0.000    1.424    0.001 frame.py:2952(_getitem_bool_array)
     1463    0.015    0.000    1.309    0.001 generic.py:3323(_take)
     1464    0.016    0.000    1.213    0.001 managers.py:1329(take)
     2315    0.023    0.000    1.139    0.000 ops.py:1817(wrapper)
4890/4760    0.028    0.000    1.118    0.000 generic.py:5581(astype)
    21113    0.133    0.000    1.093    0.000 series.py:152(__init__)
      260    0.002    0.000    1.002    0.004 indexing.py:183(__setitem__)
     1464    0.020    0.000    0.991    0.001 managers.py:1198(reindex_indexer)
1284968/1284291    0.365    0.000    0.840    0.000 {isinstance}
      260    0.001    0.000    0.829    0.003 indexing.py:153(_get_setitem_indexer)
     4630    0.017    0.000    0.827    0.000 ops.py:1815(<lambda>)
      260    0.003    0.000    0.827    0.003 indexing.py:234(_convert_tuple)
      520    0.004    0.000    0.823    0.002 indexing.py:1271(_convert_to_indexer)
     7096    0.007    0.000    0.786    0.000 base.py:2650(get_loc)
     7098    0.011    0.000    0.779    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      260    0.001    0.000    0.767    0.003 base.py:48(__str__)
      260    0.002    0.000    0.767    0.003 base.py:60(__bytes__)
      260    0.005    0.000    0.760    0.003 series.py:1369(__unicode__)
     1724    0.013    0.000    0.751    0.000 frame.py:378(__init__)
     7621    0.031    0.000    0.732    0.000 blocks.py:1217(take_nd)
     7621    0.098    0.000    0.628    0.000 algorithms.py:1544(take_nd)
