         7068294 function calls (7014302 primitive calls) in 10.828 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.828   10.828 <string>:3(<module>)
        1    0.053    0.053   10.828   10.828 geo_functions.py:117(getBlockAvailability)
       13    0.977    0.075    9.937    0.764 predictive_functions2.py:6(historicalUtilizationPercentageWithIgnore)
   197268    0.215    0.000    5.372    0.000 cursor.py:1185(next)
       65    0.011    0.000    5.018    0.077 cursor.py:1076(_refresh)
       39    0.006    0.000    5.006    0.128 cursor.py:911(__send_message)
       39    0.000    0.000    3.050    0.078 mongo_client.py:1106(_send_message_with_response)
       39    0.000    0.000    3.048    0.078 mongo_client.py:1147(_reset_on_error)
       39    0.001    0.000    3.048    0.078 server.py:66(send_message_with_response)
       39    0.007    0.000    3.036    0.078 pool.py:603(receive_message)
       41    0.016    0.000    3.029    0.074 network.py:169(receive_message)
       82    0.107    0.001    2.983    0.036 network.py:207(_receive_data_on_socket)
       82    2.876    0.035    2.876    0.035 {method 'recv' of '_socket.socket' objects}
       39    0.000    0.000    1.948    0.050 cursor.py:1066(_unpack_response)
       40    0.000    0.000    1.948    0.049 message.py:1454(unpack_response)
       41    1.853    0.045    1.948    0.048 {bson._cbson.decode_all}
     6215    0.037    0.000    1.690    0.000 frame.py:2893(__getitem__)
     1593    0.008    0.000    1.534    0.001 frame.py:2952(_getitem_bool_array)
     3909    0.043    0.000    1.414    0.000 ops.py:1660(wrapper)
     1593    0.015    0.000    1.414    0.001 generic.py:3323(_take)
     1594    0.018    0.000    1.311    0.001 managers.py:1329(take)
     2315    0.023    0.000    1.124    0.000 ops.py:1817(wrapper)
     1594    0.021    0.000    1.077    0.001 managers.py:1198(reindex_indexer)
    16758    0.115    0.000    0.982    0.000 series.py:152(__init__)
     4630    0.017    0.000    0.822    0.000 ops.py:1815(<lambda>)
     8299    0.033    0.000    0.795    0.000 blocks.py:1217(take_nd)
     8299    0.104    0.000    0.683    0.000 algorithms.py:1544(take_nd)
1183107/1182903    0.286    0.000    0.650    0.000 {isinstance}
     2488    0.007    0.000    0.527    0.000 ops.py:1166(dispatch_to_index_op)
4656/4643    0.022    0.000    0.459    0.000 generic.py:5581(astype)
   100444    0.083    0.000    0.430    0.000 base.py:75(is_dtype)
     4630    0.015    0.000    0.422    0.000 series.py:3831(fillna)
     4630    0.053    0.000    0.407    0.000 generic.py:5948(fillna)
    25291    0.038    0.000    0.370    0.000 blocks.py:3080(make_block)
     9494    0.054    0.000    0.348    0.000 managers.py:318(apply)
    16758    0.040    0.000    0.315    0.000 managers.py:1443(__init__)
     2488    0.013    0.000    0.310    0.000 datetimes.py:265(__new__)
   435553    0.136    0.000    0.310    0.000 generic.py:7(_check)
   714379    0.260    0.000    0.283    0.000 {getattr}
     1635    0.012    0.000    0.263    0.000 managers.py:97(__init__)
     6450    0.032    0.000    0.251    0.000 construction.py:537(sanitize_array)
     6846    0.030    0.000    0.230    0.000 blocks.py:3034(get_block_type)
     4643    0.009    0.000    0.222    0.000 managers.py:530(astype)
    45869    0.024    0.000    0.211    0.000 common.py:434(is_datetime64tz_dtype)
     2488    0.012    0.000    0.206    0.000 datetimes.py:365(_from_sequence)
     2488    0.004    0.000    0.203    0.000 datetimelike.py:111(wrapper)
    33746    0.056    0.000    0.198    0.000 _dtype.py:319(_name_get)
     2488    0.018    0.000    0.189    0.000 datetimes.py:133(wrapper)
    46418    0.045    0.000    0.180    0.000 common.py:1702(is_extension_array_dtype)
     2488    0.021    0.000    0.179    0.000 datetimes.py:1681(sequence_to_dt64ns)
    52485    0.077    0.000    0.176    0.000 dtypes.py:68(find)
     8299    0.039    0.000    0.168    0.000 cast.py:255(maybe_promote)
     1594    0.006    0.000    0.156    0.000 base.py:784(take)
     6450    0.010    0.000    0.155    0.000 construction.py:684(_try_cast)
    26770    0.018    0.000    0.154    0.000 common.py:572(is_categorical_dtype)
     4643    0.006    0.000    0.152    0.000 blocks.py:532(astype)
     4643    0.018    0.000    0.145    0.000 blocks.py:536(_astype)
     1594    0.004    0.000    0.142    0.000 numeric.py:67(_shallow_copy)
     8299    0.045    0.000    0.142    0.000 algorithms.py:1417(_get_take_nd_function)
1697/1654    0.030    0.000    0.140    0.000 base.py:253(__new__)
     1597    0.007    0.000    0.139    0.000 base.py:584(_shallow_copy_with_infer)
    46081    0.056    0.000    0.138    0.000 common.py:1845(_is_dtype_type)
     4630    0.009    0.000    0.136    0.000 managers.py:524(fillna)
    33759    0.050    0.000    0.132    0.000 numerictypes.py:365(issubdtype)
    18890    0.020    0.000    0.128    0.000 blocks.py:225(make_block_same_class)
    37069    0.040    0.000    0.125    0.000 common.py:1981(pandas_dtype)
36988/35640    0.059    0.000    0.123    0.000 {method 'format' of 'str' objects}
     1636    0.010    0.000    0.121    0.000 managers.py:599(_consolidate_check)
25308/21598    0.029    0.000    0.113    0.000 {numpy.array}
     8524    0.011    0.000    0.110    0.000 blocks.py:312(ftype)
3537/1179    0.008    0.000    0.109    0.000 {operator.le}
    25291    0.056    0.000    0.107    0.000 blocks.py:78(__init__)
    27138    0.060    0.000    0.107    0.000 generic.py:5069(__setattr__)
     1620    0.009    0.000    0.106    0.000 frame.py:378(__init__)
   197242    0.097    0.000    0.097    0.000 database.py:394(_fix_outgoing)
