         7079796 function calls (7025544 primitive calls) in 14.979 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   14.979   14.979 <string>:3(<module>)
        1    0.051    0.051   14.978   14.978 geo_functions.py:140(getBlockAvailability)
       13    1.109    0.085   14.019    1.078 predictive_functions2.py:6(historicalUtilizationPercentageWithIgnore)
   197268    0.245    0.000    9.167    0.000 cursor.py:1185(next)
       65    0.011    0.000    8.760    0.135 cursor.py:1076(_refresh)
       39    0.006    0.000    8.717    0.224 cursor.py:911(__send_message)
       39    0.000    0.000    6.594    0.169 mongo_client.py:1106(_send_message_with_response)
       39    0.000    0.000    6.591    0.169 mongo_client.py:1147(_reset_on_error)
       39    0.001    0.000    6.591    0.169 server.py:66(send_message_with_response)
       39    0.009    0.000    6.562    0.168 pool.py:603(receive_message)
       52    0.021    0.000    6.559    0.126 network.py:169(receive_message)
      104    0.180    0.002    6.494    0.062 network.py:207(_receive_data_on_socket)
      105    6.313    0.060    6.313    0.060 {method 'recv' of '_socket.socket' objects}
       39    0.000    0.000    2.116    0.054 cursor.py:1066(_unpack_response)
       52    1.997    0.038    2.116    0.041 {bson._cbson.decode_all}
       39    0.000    0.000    2.116    0.054 message.py:1454(unpack_response)
     6215    0.032    0.000    1.735    0.000 frame.py:2893(__getitem__)
     1593    0.008    0.000    1.585    0.001 frame.py:2952(_getitem_bool_array)
     1593    0.013    0.000    1.466    0.001 generic.py:3323(_take)
     3909    0.038    0.000    1.458    0.000 ops.py:1660(wrapper)
     1594    0.017    0.000    1.373    0.001 managers.py:1329(take)
     2315    0.023    0.000    1.218    0.001 ops.py:1817(wrapper)
     1594    0.019    0.000    1.144    0.001 managers.py:1198(reindex_indexer)
    16758    0.121    0.000    1.068    0.000 series.py:152(__init__)
     4630    0.018    0.000    0.888    0.000 ops.py:1815(<lambda>)
     8299    0.035    0.000    0.854    0.000 blocks.py:1217(take_nd)
1183509/1183305    0.324    0.000    0.738    0.000 {isinstance}
     8299    0.110    0.000    0.735    0.000 algorithms.py:1544(take_nd)
     2488    0.006    0.000    0.528    0.000 ops.py:1166(dispatch_to_index_op)
4656/4643    0.024    0.000    0.505    0.000 generic.py:5581(astype)
   100444    0.092    0.000    0.485    0.000 base.py:75(is_dtype)
     4630    0.015    0.000    0.447    0.000 series.py:3831(fillna)
     4630    0.053    0.000    0.432    0.000 generic.py:5948(fillna)
    25291    0.040    0.000    0.407    0.000 blocks.py:3080(make_block)
     9494    0.057    0.000    0.377    0.000 managers.py:318(apply)
   435553    0.157    0.000    0.353    0.000 generic.py:7(_check)
    16758    0.044    0.000    0.349    0.000 managers.py:1443(__init__)
     2488    0.012    0.000    0.317    0.000 datetimes.py:265(__new__)
   714687    0.290    0.000    0.314    0.000 {getattr}
     1635    0.012    0.000    0.274    0.000 managers.py:97(__init__)
     6450    0.033    0.000    0.271    0.000 construction.py:537(sanitize_array)
     6846    0.032    0.000    0.255    0.000 blocks.py:3034(get_block_type)
     4643    0.009    0.000    0.242    0.000 managers.py:530(astype)
    45869    0.025    0.000    0.238    0.000 common.py:434(is_datetime64tz_dtype)
    33746    0.061    0.000    0.216    0.000 _dtype.py:319(_name_get)
     2488    0.009    0.000    0.213    0.000 datetimes.py:365(_from_sequence)
     2488    0.004    0.000    0.199    0.000 datetimelike.py:111(wrapper)
    46418    0.049    0.000    0.198    0.000 common.py:1702(is_extension_array_dtype)
    52485    0.087    0.000    0.192    0.000 dtypes.py:68(find)
     2488    0.021    0.000    0.191    0.000 datetimes.py:1681(sequence_to_dt64ns)
     2488    0.018    0.000    0.185    0.000 datetimes.py:133(wrapper)
     8299    0.039    0.000    0.182    0.000 cast.py:255(maybe_promote)
    26770    0.019    0.000    0.170    0.000 common.py:572(is_categorical_dtype)
     6450    0.010    0.000    0.168    0.000 construction.py:684(_try_cast)
     4643    0.006    0.000    0.165    0.000 blocks.py:532(astype)
     4643    0.018    0.000    0.159    0.000 blocks.py:536(_astype)
     8299    0.052    0.000    0.157    0.000 algorithms.py:1417(_get_take_nd_function)
     1594    0.005    0.000    0.156    0.000 base.py:784(take)
    46081    0.063    0.000    0.153    0.000 common.py:1845(_is_dtype_type)
    33759    0.056    0.000    0.147    0.000 numerictypes.py:365(issubdtype)
1697/1654    0.028    0.000    0.144    0.000 base.py:253(__new__)
     4630    0.009    0.000    0.144    0.000 managers.py:524(fillna)
     1594    0.003    0.000    0.143    0.000 numeric.py:67(_shallow_copy)
     1597    0.006    0.000    0.141    0.000 base.py:584(_shallow_copy_with_infer)
    18890    0.022    0.000    0.140    0.000 blocks.py:225(make_block_same_class)
    37069    0.044    0.000    0.137    0.000 common.py:1981(pandas_dtype)
36988/35640    0.062    0.000    0.134    0.000 {method 'format' of 'str' objects}
     1636    0.010    0.000    0.131    0.000 managers.py:599(_consolidate_check)
     8524    0.012    0.000    0.121    0.000 blocks.py:312(ftype)
   197255    0.096    0.000    0.119    0.000 objectid.py:83(__init__)
    25291    0.064    0.000    0.118    0.000 blocks.py:78(__init__)
    27138    0.066    0.000    0.117    0.000 generic.py:5069(__setattr__)
   197242    0.115    0.000    0.115    0.000 database.py:394(_fix_outgoing)
25308/21598    0.029    0.000    0.115    0.000 {numpy.array}
     1620    0.008    0.000    0.109    0.000 frame.py:378(__init__)
    18435    0.009    0.000    0.107    0.000 common.py:536(is_interval_dtype)
642136/602302    0.074    0.000    0.104    0.000 {len}
     2488    0.005    0.000    0.100    0.000 datetimes.py:1892(maybe_convert_dtype)
    20817    0.084    0.000    0.099    0.000 common.py:160(is_sparse)
3537/1179    0.008    0.000    0.098    0.000 {operator.le}
     1593    0.004    0.000    0.098    0.000 indexing.py:2475(check_bool_indexer)
    16750    0.025    0.000    0.098    0.000 dtypes.py:973(is_dtype)
17794/14474    0.012    0.000    0.094    0.000 numeric.py:469(asarray)
