         6841941 function calls (6787448 primitive calls) in 10.877 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6330    0.029    0.000    0.076    0.000 cast.py:832(maybe_castable)
     1460    0.001    0.000    0.075    0.000 generic.py:178(_validate_dtype)
     1460    0.008    0.000    0.075    0.000 ops.py:1615(na_op)
    61558    0.043    0.000    0.070    0.000 numerictypes.py:293(issubclass_)
     2420    0.015    0.000    0.068    0.000 base.py:786(array)
    12302    0.007    0.000    0.066    0.000 common.py:503(is_period_dtype)
    11016    0.010    0.000    0.063    0.000 common.py:403(is_datetime64_dtype)
    10340    0.007    0.000    0.062    0.000 common.py:262(is_categorical)
274785/274614    0.060    0.000    0.061    0.000 {issubclass}
     3974    0.005    0.000    0.059    0.000 common.py:1643(is_extension_type)
    12302    0.013    0.000    0.059    0.000 dtypes.py:827(is_dtype)
    13242    0.008    0.000    0.059    0.000 {method 'any' of 'numpy.ndarray' objects}
     2488    0.015    0.000    0.057    0.000 datetimes.py:309(_simple_new)
     7515    0.019    0.000    0.057    0.000 _dtype.py:46(__str__)
     4724    0.006    0.000    0.056    0.000 generic.py:3056(_get_item_cache)
    31779    0.016    0.000    0.056    0.000 series.py:406(dtype)
     4682    0.006    0.000    0.051    0.000 blocks.py:364(fillna)
    13242    0.006    0.000    0.051    0.000 _methods.py:42(_any)
    13729    0.013    0.000    0.050    0.000 common.py:131(is_object_dtype)
     4683    0.004    0.000    0.048    0.000 blocks.py:146(is_categorical_astype)
     5989    0.010    0.000    0.045    0.000 base.py:4051(equals)
    13284    0.044    0.000    0.044    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1623    0.009    0.000    0.044    0.000 frame.py:378(__init__)
    11752    0.014    0.000    0.042    0.000 {pandas._libs.lib.is_scalar}
     9394    0.036    0.000    0.042    0.000 blocks.py:3100(_extend_blocks)
    31779    0.025    0.000    0.040    0.000 managers.py:1522(dtype)
     1620    0.022    0.000    0.039    0.000 indexing.py:2575(maybe_convert_indices)
    16550    0.029    0.000    0.039    0.000 series.py:354(_set_axis)
    54122    0.024    0.000    0.039    0.000 {hasattr}
     3008    0.012    0.000    0.039    0.000 datetimes.py:280(__init__)
     2644    0.007    0.000    0.038    0.000 algorithms.py:1250(wrapper)
    44267    0.022    0.000    0.038    0.000 series.py:392(name)
     6335    0.006    0.000    0.035    0.000 generic.py:5132(_consolidate_inplace)
     1507    0.012    0.000    0.034    0.000 cast.py:953(maybe_cast_to_datetime)
    19192    0.012    0.000    0.033    0.000 integer.py:80(construct_from_string)
     1619    0.006    0.000    0.033    0.000 common.py:93(is_bool_indexer)
     6503    0.015    0.000    0.031    0.000 managers.py:139(shape)
        9    0.031    0.003    0.031    0.003 message.py:1469(unpack)
     7068    0.006    0.000    0.031    0.000 common.py:472(is_timedelta64_dtype)
     1625    0.010    0.000    0.030    0.000 managers.py:306(_verify_integrity)
    11015    0.015    0.000    0.030    0.000 generic.py:5036(__finalize__)
     6335    0.008    0.000    0.030    0.000 generic.py:5122(_protect_consolidate)
     2551    0.002    0.000    0.030    0.000 numeric.py:541(asanyarray)
    50621    0.028    0.000    0.028    0.000 _weakrefset.py:70(__contains__)
    16801    0.013    0.000    0.028    0.000 common.py:746(is_dtype_equal)
      328    0.001    0.000    0.028    0.000 range.py:272(_shallow_copy)
     6330    0.005    0.000    0.027    0.000 arrays.py:7(extract_array)
     2488    0.005    0.000    0.027    0.000 datetimelike.py:729(_hasnans)
     1900    0.005    0.000    0.027    0.000 numpy_.py:127(__init__)
