         6966945 function calls (6911152 primitive calls) in 12.633 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1667    0.007    0.000    0.142    0.000 base.py:584(_shallow_copy_with_infer)
     1622    0.003    0.000    0.141    0.000 numeric.py:67(_shallow_copy)
    46769    0.057    0.000    0.139    0.000 common.py:1845(_is_dtype_type)
     4682    0.009    0.000    0.136    0.000 managers.py:524(fillna)
     7501    0.042    0.000    0.130    0.000 algorithms.py:1417(_get_take_nd_function)
    37473    0.040    0.000    0.128    0.000 common.py:1981(pandas_dtype)
    31165    0.047    0.000    0.124    0.000 numerictypes.py:365(issubdtype)
    17759    0.018    0.000    0.118    0.000 blocks.py:225(make_block_same_class)
37428/36103    0.058    0.000    0.116    0.000 {method 'format' of 'str' objects}
25629/21803    0.029    0.000    0.113    0.000 {numpy.array}
     1677    0.009    0.000    0.110    0.000 managers.py:599(_consolidate_check)
3537/1179    0.008    0.000    0.105    0.000 {operator.le}
    26277    0.057    0.000    0.103    0.000 generic.py:5069(__setattr__)
   197824    0.102    0.000    0.102    0.000 database.py:394(_fix_outgoing)
     7645    0.010    0.000    0.101    0.000 blocks.py:312(ftype)
   197826    0.081    0.000    0.100    0.000 objectid.py:83(__init__)
    24162    0.053    0.000    0.099    0.000 blocks.py:78(__init__)
     1621    0.004    0.000    0.096    0.000 indexing.py:2475(check_bool_indexer)
       51    0.000    0.000    0.095    0.002 socket.py:227(meth)
        3    0.093    0.031    0.093    0.031 {method 'connect' of '_socket.socket' objects}
     2488    0.006    0.000    0.093    0.000 datetimes.py:1892(maybe_convert_dtype)
17261/13828    0.010    0.000    0.092    0.000 numeric.py:469(asarray)
637086/596142    0.065    0.000    0.091    0.000 {len}
    17565    0.009    0.000    0.090    0.000 common.py:536(is_interval_dtype)
     2028    0.005    0.000    0.088    0.000 series.py:669(__array__)
     1679    0.048    0.000    0.087    0.000 managers.py:186(_rebuild_blknos_and_blklocs)
     2488    0.074    0.000    0.085    0.000 datetimes.py:72(_to_M8)
    19672    0.072    0.000    0.084    0.000 common.py:160(is_sparse)
3537/1179    0.007    0.000    0.084    0.000 {operator.gt}
    20868    0.015    0.000    0.083    0.000 inference.py:253(is_list_like)
    15857    0.021    0.000    0.082    0.000 dtypes.py:973(is_dtype)
    29418    0.046    0.000    0.081    0.000 abc.py:128(__instancecheck__)
