         7588929 function calls (7546199 primitive calls) in 42.768 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   42.768   42.768 <string>:3(<module>)
        1    0.009    0.009   42.768   42.768 geo_functions.py:140(getBlockAvailability)
       13    0.076    0.006   41.877    3.221 predictive_functions.py:6(historicalUtilizationPercentageWithIgnore)
     2056    0.007    0.000   34.365    0.017 cursor.py:1185(next)
      286    0.003    0.000   34.355    0.120 cursor.py:1076(_refresh)
      143    0.006    0.000   34.314    0.240 cursor.py:911(__send_message)
      143    0.002    0.000   34.239    0.239 mongo_client.py:1106(_send_message_with_response)
      143    0.000    0.000   34.229    0.239 mongo_client.py:1147(_reset_on_error)
      143    0.004    0.000   34.229    0.239 server.py:66(send_message_with_response)
      156    0.002    0.000   34.172    0.219 network.py:169(receive_message)
      312    0.007    0.000   34.166    0.110 network.py:207(_receive_data_on_socket)
      143    0.001    0.000   34.165    0.239 pool.py:603(receive_message)
      312   34.159    0.109   34.159    0.109 {method 'recv' of '_socket.socket' objects}
     6735    0.038    0.000    1.722    0.000 frame.py:2893(__getitem__)
4890/4760    0.035    0.000    1.707    0.000 generic.py:5581(astype)
     4039    0.044    0.000    1.625    0.000 ops.py:1660(wrapper)
     1463    0.008    0.000    1.529    0.001 frame.py:2952(_getitem_bool_array)
      260    0.003    0.000    1.416    0.005 indexing.py:183(__setitem__)
     1463    0.013    0.000    1.411    0.001 generic.py:3323(_take)
     1724    0.014    0.000    1.356    0.001 frame.py:378(__init__)
     1464    0.017    0.000    1.317    0.001 managers.py:1329(take)
    21113    0.166    0.000    1.283    0.000 series.py:152(__init__)
     2315    0.024    0.000    1.257    0.001 ops.py:1817(wrapper)
      260    0.001    0.000    1.188    0.005 indexing.py:153(_get_setitem_indexer)
      260    0.003    0.000    1.186    0.005 indexing.py:234(_convert_tuple)
      520    0.005    0.000    1.181    0.002 indexing.py:1271(_convert_to_indexer)
     7096    0.011    0.000    1.137    0.000 base.py:2650(get_loc)
1284931/1284254    0.484    0.000    1.133    0.000 {isinstance}
     7098    0.016    0.000    1.126    0.000 {method 'get_loc' of 'pandas._libs.index.IndexEngine' objects}
      260    0.001    0.000    1.109    0.004 base.py:48(__str__)
      260    0.003    0.000    1.109    0.004 base.py:60(__bytes__)
      260    0.005    0.000    1.100    0.004 series.py:1369(__unicode__)
     1464    0.019    0.000    1.090    0.001 managers.py:1198(reindex_indexer)
      261    0.002    0.000    1.014    0.004 construction.py:43(arrays_to_mgr)
     4630    0.018    0.000    0.912    0.000 ops.py:1815(<lambda>)
     7621    0.034    0.000    0.812    0.000 blocks.py:1217(take_nd)
      130    0.001    0.000    0.751    0.006 concat.py:24(concat)
   128421    0.132    0.000    0.719    0.000 base.py:75(is_dtype)
      260    0.003    0.000    0.703    0.003 terminal.py:25(get_terminal_size)
     7621    0.107    0.000    0.697    0.000 algorithms.py:1544(take_nd)
      260    0.002    0.000    0.688    0.003 terminal.py:94(_get_terminal_size_tput)
      260    0.005    0.000    0.685    0.003 subprocess.py:334(__init__)
      261    0.003    0.000    0.671    0.003 managers.py:1663(create_block_manager_from_arrays)
      260    0.005    0.000    0.656    0.003 subprocess.py:590(_execute_child)
      260    0.644    0.002    0.644    0.002 {_subprocess.CreateProcess}
    31319    0.057    0.000    0.643    0.000 blocks.py:3080(make_block)
     2618    0.007    0.000    0.627    0.000 ops.py:1166(dispatch_to_index_op)
    11990    0.084    0.000    0.616    0.000 managers.py:318(apply)
    12504    0.073    0.000    0.599    0.000 blocks.py:3034(get_block_type)
      130    0.002    0.000    0.555    0.004 concat.py:383(get_result)
   572919    0.240    0.000    0.548    0.000 generic.py:7(_check)
      130    0.002    0.000    0.545    0.004 construction.py:170(init_dict)
     8439    0.051    0.000    0.517    0.000 construction.py:537(sanitize_array)
      261    0.028    0.000    0.504    0.002 managers.py:1696(form_blocks)
   928535    0.454    0.000    0.498    0.000 {getattr}
     4630    0.016    0.000    0.462    0.000 series.py:3831(fillna)
     4630    0.055    0.000    0.446    0.000 generic.py:5948(fillna)
    21373    0.065    0.000    0.399    0.000 managers.py:1443(__init__)
     1856    0.016    0.000    0.377    0.000 managers.py:97(__init__)
      260    0.003    0.000    0.377    0.001 series.py:1388(to_string)
     2618    0.014    0.000    0.374    0.000 datetimes.py:265(__new__)
      260    0.003    0.000    0.354    0.001 format.py:258(to_string)
      261    0.011    0.000    0.340    0.001 construction.py:254(_homogenize)
     8439    0.018    0.000    0.334    0.000 construction.py:684(_try_cast)
    54087    0.035    0.000    0.316    0.000 common.py:434(is_datetime64tz_dtype)
2386/1992    0.052    0.000    0.312    0.000 base.py:253(__new__)
    38972    0.082    0.000    0.296    0.000 _dtype.py:319(_name_get)
     7355    0.020    0.000    0.289    0.000 generic.py:3056(_get_item_cache)
     4760    0.010    0.000    0.286    0.000 managers.py:530(astype)
      520    0.007    0.000    0.274    0.001 format.py:848(format_array)
     2210    0.010    0.000    0.270    0.000 generic.py:5699(copy)
    36684    0.030    0.000    0.261    0.000 common.py:572(is_categorical_dtype)
     2618    0.013    0.000    0.251    0.000 datetimes.py:365(_from_sequence)
    54111    0.067    0.000    0.249    0.000 common.py:1702(is_extension_array_dtype)
     2618    0.004    0.000    0.239    0.000 datetimelike.py:111(wrapper)
      520    0.002    0.000    0.234    0.000 format.py:927(get_result)
    61337    0.095    0.000    0.224    0.000 common.py:1845(_is_dtype_type)
      260    0.010    0.000    0.224    0.001 indexing.py:299(_setitem_with_indexer)
     2618    0.021    0.000    0.222    0.000 datetimes.py:133(wrapper)
     2618    0.026    0.000    0.222    0.000 datetimes.py:1681(sequence_to_dt64ns)
     2214    0.005    0.000    0.214    0.000 frame.py:742(iteritems)
    60295    0.099    0.000    0.213    0.000 dtypes.py:68(find)
     2340    0.012    0.000    0.211    0.000 managers.py:710(copy)
     4987    0.061    0.000    0.209    0.000 cast.py:953(maybe_cast_to_datetime)
    31319    0.092    0.000    0.208    0.000 blocks.py:78(__init__)
    22978    0.031    0.000    0.207    0.000 blocks.py:225(make_block_same_class)
    39102    0.078    0.000    0.203    0.000 numerictypes.py:365(issubdtype)
     4760    0.007    0.000    0.202    0.000 blocks.py:532(astype)
      131    0.002    0.000    0.199    0.002 construction.py:382(to_arrays)
      130    0.004    0.000    0.196    0.002 construction.py:469(_list_of_dict_to_arrays)
      130    0.012    0.000    0.195    0.002 concat.py:237(__init__)
     4760    0.023    0.000    0.195    0.000 blocks.py:536(_astype)
    40151    0.111    0.000    0.193    0.000 generic.py:5069(__setattr__)
42603/41034    0.093    0.000    0.192    0.000 {method 'format' of 'str' objects}
      260    0.001    0.000    0.191    0.001 format.py:253(_get_formatted_values)
355297/331225    0.099    0.000    0.184    0.000 {len}
     1857    0.013    0.000    0.182    0.000 managers.py:599(_consolidate_check)
