         6841678 function calls (6787189 primitive calls) in 13.844 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1460    0.001    0.000    0.080    0.000 generic.py:178(_validate_dtype)
     1460    0.008    0.000    0.079    0.000 ops.py:1615(na_op)
    61558    0.048    0.000    0.079    0.000 numerictypes.py:293(issubclass_)
     2488    0.066    0.000    0.077    0.000 datetimes.py:72(_to_M8)
    12302    0.007    0.000    0.075    0.000 common.py:503(is_period_dtype)
    10340    0.007    0.000    0.071    0.000 common.py:262(is_categorical)
    11016    0.011    0.000    0.071    0.000 common.py:403(is_datetime64_dtype)
274785/274614    0.069    0.000    0.070    0.000 {issubclass}
     2420    0.014    0.000    0.070    0.000 base.py:786(array)
    12302    0.014    0.000    0.069    0.000 dtypes.py:827(is_dtype)
     3974    0.004    0.000    0.066    0.000 common.py:1643(is_extension_type)
     7515    0.020    0.000    0.063    0.000 _dtype.py:46(__str__)
     2488    0.016    0.000    0.063    0.000 datetimes.py:309(_simple_new)
    31779    0.018    0.000    0.061    0.000 series.py:406(dtype)
    13242    0.009    0.000    0.059    0.000 {method 'any' of 'numpy.ndarray' objects}
     4724    0.006    0.000    0.057    0.000 generic.py:3056(_get_item_cache)
     4682    0.006    0.000    0.055    0.000 blocks.py:364(fillna)
    13729    0.014    0.000    0.053    0.000 common.py:131(is_object_dtype)
     4683    0.004    0.000    0.053    0.000 blocks.py:146(is_categorical_astype)
    13242    0.007    0.000    0.051    0.000 _methods.py:42(_any)
     9394    0.038    0.000    0.045    0.000 blocks.py:3100(_extend_blocks)
    13284    0.044    0.000    0.044    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     5989    0.008    0.000    0.043    0.000 base.py:4051(equals)
    31779    0.027    0.000    0.043    0.000 managers.py:1522(dtype)
     1623    0.008    0.000    0.043    0.000 frame.py:378(__init__)
    54119    0.026    0.000    0.043    0.000 {hasattr}
     3008    0.013    0.000    0.043    0.000 datetimes.py:280(__init__)
    16550    0.030    0.000    0.042    0.000 series.py:354(_set_axis)
    44267    0.024    0.000    0.041    0.000 series.py:392(name)
    11752    0.013    0.000    0.038    0.000 {pandas._libs.lib.is_scalar}
    19192    0.013    0.000    0.037    0.000 integer.py:80(construct_from_string)
     1507    0.013    0.000    0.037    0.000 cast.py:953(maybe_cast_to_datetime)
     1620    0.021    0.000    0.036    0.000 indexing.py:2575(maybe_convert_indices)
     6335    0.005    0.000    0.036    0.000 generic.py:5132(_consolidate_inplace)
     1619    0.006    0.000    0.035    0.000 common.py:93(is_bool_indexer)
     7068    0.006    0.000    0.035    0.000 common.py:472(is_timedelta64_dtype)
    11015    0.017    0.000    0.035    0.000 generic.py:5036(__finalize__)
     2644    0.007    0.000    0.034    0.000 algorithms.py:1250(wrapper)
     2551    0.002    0.000    0.033    0.000 numeric.py:541(asanyarray)
