         7577645 function calls (7535716 primitive calls) in 22.257 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
42603/41034    0.061    0.000    0.132    0.000 {method 'format' of 'str' objects}
     1857    0.009    0.000    0.129    0.000 managers.py:599(_consolidate_check)
     1464    0.005    0.000    0.124    0.000 base.py:784(take)
355224/331146    0.067    0.000    0.124    0.000 {len}
     4630    0.008    0.000    0.120    0.000 managers.py:524(fillna)
    43332    0.041    0.000    0.119    0.000 common.py:1981(pandas_dtype)
     7621    0.038    0.000    0.119    0.000 algorithms.py:1417(_get_take_nd_function)
     9820    0.012    0.000    0.119    0.000 blocks.py:312(ftype)
      260    0.001    0.000    0.114    0.000 format.py:253(_get_formatted_values)
    23857    0.009    0.000    0.113    0.000 common.py:536(is_interval_dtype)
33995/30025    0.034    0.000    0.111    0.000 {numpy.array}
     1464    0.002    0.000    0.110    0.000 numeric.py:67(_shallow_copy)
     1467    0.005    0.000    0.108    0.000 base.py:584(_shallow_copy_with_infer)
    31939    0.022    0.000    0.108    0.000 inference.py:253(is_list_like)
     4987    0.032    0.000    0.107    0.000 cast.py:953(maybe_cast_to_datetime)
    28025    0.090    0.000    0.107    0.000 common.py:160(is_sparse)
    18551    0.010    0.000    0.105    0.000 common.py:262(is_categorical)
     2340    0.006    0.000    0.104    0.000 managers.py:710(copy)
    21483    0.025    0.000    0.103    0.000 dtypes.py:973(is_dtype)
     2214    0.002    0.000    0.101    0.000 frame.py:742(iteritems)
      260    0.002    0.000    0.101    0.000 indexing.py:521(setter)
    12200    0.013    0.000    0.098    0.000 blocks.py:749(copy)
    45039    0.056    0.000    0.098    0.000 abc.py:128(__instancecheck__)
      130    0.006    0.000    0.096    0.001 concat.py:237(__init__)
     1987    0.052    0.000    0.096    0.000 managers.py:186(_rebuild_blknos_and_blklocs)
    18544    0.008    0.000    0.093    0.000 common.py:503(is_period_dtype)
